bibkey,reference,year,section,subtheme,crop,technique,key_result,also_in_section
khan2023plant,Khan et al.,2023,Detection,Visual-Edge,Multi-crop,MobileNetV3-Small (~1.5M params),~99.50% accuracy,
nawaz2025agriclip,Nawaz et al.,2025,Detection,Visual-VLM,Multi-crop,AgriCLIP (CLIP + DINO alignment),35.42% zero-shot PlantDoc,
wei2024benchmarking,Wei et al.,2024,Detection,Visual-VLM,Wild species,CLIP + multi-prototype + GPT-3.5,Best multimodal prototype results,
dong2024visual,Dong et al.,2024,Detection,Visual-VLM,Multi-crop,CLIP + VL prompt tuning,99.85% AUROC anomaly detection,
zhou2024few,Zhou et al.,2024,Detection,Visual-VLM,Multi-crop,VLCD (CLIP RN50 + Qwen-VL + SE),Outperforms CLIP/Tip-Adapter,
roumeliotis2025plant,Roumeliotis et al.,2025,Detection,Visual-LLM,Apple/Corn,GPT-4o (fine-tuned) vs ResNet-50,98.12% (apple fine-tuned),
pan2025chatleafdisease,Pan et al.,2025,Detection,Visual-LLM,Multi-crop,ChatLeafDisease (GPT-4o + CoT),88.9% tomato; 94.4% cross-crop,
hue2024artificial,Hue et al.,2024,Detection,Visual-LLM,Korean taxa,GPT-4V + RAG knowledge base,Interactive diagnostic system,
wang2024agri,Wang et al.,2024,Detection,Visual-MLLM,221+ crops,Agri-LLaVA (LLaVA-1.5 fine-tuned),Outperforms baseline LLaVA,
xu2025agro,Xu et al.,2025,Detection,Visual-MLLM,22 crops,Agro-LLaVA-Next (PEFT),Effective parameter-efficient adaptation,
sharma2024llava,Sharma et al.,2024,Detection,Visual-MLLM,Multi-crop,LLaVA-PlantDiag VQA,SOTA phytopathological VQA,
awais2025agrogpt,Awais et al.,2025,Detection,Visual-MLLM,202 classes,AgroGPT (LLaVA-3B expert tuning),Outperforms GPT-4o on fine-grained ag,
yang2025agrigpt,Yang et al.,2025,Detection,Visual-MLLM,Broad ag,AgriGPT-VL (Qwen2.5-VL + curriculum),Outperforms InternVL-3/Gemini-2.5,
li2026soybean,Li et al.,2026,Detection,Visual-MLLM,Soybean,Qwen2.5-VL-3B + LoRA + progressive FT,93.82% progressive FT,
wang2025large,Wang et al.,2025,Detection,Visual-MLLM,Multi-crop,LLMI-CDP (VisualGLM + LoRA + Q-Former),Outperforms MiniGPT-4/Qwen-VL,
borhani2022deep,Borhani et al.,2022,Detection,Visual-ViT,Multi-crop,Vision transformer DL approach,Real-time attention-based classification,
thakur2023vision,Thakur et al.,2023,Detection,Visual-ViT,Multi-crop,ViT meets CNN hybrid,Improved classification,
shahi2023recent,Shahi et al.,2023,Detection,Visual-Review,Multi-crop,Review of UAV + DL disease detection,Survey of UAV DL techniques,
chin2023plant,Chin et al.,2023,Detection,Visual-Drone,Multi-crop,Drone-based detection in precision ag,Drone deployment survey,
zhu2024intelligent,Zhu et al.,2024,Detection,Visual-Drone,Multi-crop,DL in UAV remote sensing,UAV crop disease/pest detection,
yu2023inception,Yu et al.,2023,Detection,Visual-ViT,Multi-crop,Inception convolutional vision transformers,Improved identification,
karthik2024deep,Karthik et al.,2024,Detection,Visual-ViT,Multi-crop,Swin transformer + dual-attention fusion,Crop disease and pest classification,
yu2025st,Yu et al.,2025,Detection,Visual-ViT,Multi-crop,ST-CFI (Swin + conv feature interactions),Improved disease identification,
zheng2025agrigpt,Zheng & Wang,2025,Detection,Visual-VLM,Multi-crop,AgriGPT visual-language detection model,Strong plant disease detection via VLM,
nguyen2021early,Nguyen et al.,2021,Detection,Spectral-HSI,Grapevine,2D/3D-CNN + SVM/RF ensemble,F1 = 0.90,
jung2022hyperspectral,Jung et al.,2022,Detection,Spectral-HSI,Strawberry,3D-CNN on HSI cubes,0.84 (3-class),
cui2022hyperspectral,Cui et al.,2022,Detection,Spectral-HSI,Apple,DC-CNN (3D+1D-CNN + Grad-CAM),98% early-stage,
de2023plant,De Silva & Brown,2023,Detection,Spectral-Multispectral,10 species,ViT-B16 vs CNN baselines,83.3% acc; 89.5% F1,
shi2022novel,Shi et al.,2022,Detection,Spectral-HSI,Potato,CropdocNet capsule network,98.08% accuracy,
liu2023discriminative,Liu et al.,2023,Detection,Spectral-HSI,Strawberry,CNN + BP-NN multi-feature fusion,99.1% healthy; 93.5% asymptomatic,
Chadoulis2025_3DCNN_Potexvirus,Chadoulis et al.,2025,Detection,Spectral-HSI,Nicotiana,ERT band selection + 3D-CNN,0.8893 accuracy,
kerkech2020vddnet,Kerkech et al.,2020,Detection,Spectral-Multispectral,Grapevine,VddNet (3 autoencoders visible+NIR+depth),93.72% acc; 0.93 F1,
bhakta2023novel,Bhakta et al.,2023,Detection,Spectral-Thermal,Rice,Modified shallow CNN,Effective pre-symptomatic detection,
sapoukhina2022plant,Sapoukhina et al.,2022,Detection,Spectral-Fluorescence,Arabidopsis,U-Net segmentation,Recall 0.793; F1 0.925,
batchuluun2022deep,Batchuluun et al.,2022,Detection,Spectral-Thermal,Rice,CNN + XAI (CAM),Five-class thermal classification,
silva2025edge,da Silva & Almeida,2025,Detection,Spectral-Thermal,16 species,InceptionV3/MobileNet/VGG pruned+quantised,SOTA acc; 1.48-2.13x faster edge,
dong2024classification,Dong et al.,2024,Detection,Spectral-Fluorescence,Tomato,DBO-BiLSTM,>95% acc; +6.35% over SVM,
attallah2023ripa,Attallah,2023,Detection,Spectral-Thermal,Rice,Hybrid CNN features + DWT + Relief-F + SVM,DWT-enhanced features outperform spatial,
francisco2024severity,Francisco et al.,2024,Detection,Spectral-Thermal,Corn,CNN ensemble (NASNet/MobileNet/EfficientNet),Four-level severity classification,
vallejo2021raman,Vallejo-Perez et al.,2021,Detection,Spectral-Raman,Tomato,PCA + MLP/LDA,~99% PCA+MLP,
conrad2020machine,Conrad et al.,2020,Detection,Spectral-NIR,Rice,SVM/RF/sPLS-DA,86.1% binary at 1 DPI,
Jing2022remote,Jing et al.,2022,Detection,Spectral-HSI,Winter wheat,XGBoost + mRMR feature selection,R2 = 0.8894,
navrozidis2023application,Navrozidis et al.,2023,Detection,Spectral-HSI,Olive,Random Forest/XGBoost + RFE,RF AUC = 0.977,
mustafa2024enhancing,Mustafa et al.,2024,Detection,Spectral-NIR,Wheat,KNN/RF/SVM/NN/XGBoost on WFSI/WFTI,Pre-symptomatic 78.9%,
ni2024diagnosis,Ni et al.,2024,Detection,Spectral-FTIR,Corn,VIP-KNN,97.46% accuracy,
Li2025Unmanned,Li et al.,2025,Detection,Spectral-HSI,Rice,KNN/RF with Rice Blast Index,KNN OA 95.0%; RF OA 95.1%,
baltazar2021smarter,Baltazar et al.,2021,Spraying,Platform,Vineyard,PRySM modular robot; SVM + LBP + veg index,80-85% leaf density classification,Spraying
vijayakumar2025ai,Vijayakumar et al.,2025,Spraying,Platform,Vegetables,Ground smart sprayer; improved YOLOv8s,Real-time weed detection variable light,
cakmak2026design,Cakmak et al.,2026,Spraying,Platform,Apple orchard,Vabot; YOLOv5 + oscillating spray arm,60.43% vs 14.87% coverage,
jiang2023navigation,Jiang & Ahamed,2023,Spraying,Navigation,Orchard,Ground robot; 2D LiDAR + DBSCAN/K-means/RANSAC,Real-time GNSS-free trunk detection,
liu2022precision,Liu et al.,2022,Spraying,VariableRate,Orchard,3D LiDAR; RANSAC centreline + zoned VR,32.46% pesticide reduction,
lin2023research,Lin et al.,2023,Spraying,Hardware,Pest control,Electrostatic UGV; charge-to-mass characterisation,6 kV charging; 0.4 MPa validated,
ahmad2020effect,Ahmad et al.,2020,Spraying,UAV,General,UAV factorial DoE height x speed; DepositScan,Max 2.29 uL/cm2 at 2 m/s 2 m,
nanavati2023generalized,Nanavati et al.,2023,Spraying,UAV,General,UAV-agnostic NN path planning,Optimal flight speed/pass-width,
garcia2024review,Garcia-Munguia et al.,2024,Spraying,Review,Multi-crop,UAV crop spraying review (2019-2024),AI-assisted pesticide reduction up to 30%,
gatkal2025review,Gatkal et al.,2025,Spraying,Review,Multi-crop,UAV operational parameters/nozzle review,UAV vs ground cost comparison,
meshram2022pesticide,Meshram et al.,2022,Spraying,Review,Multi-crop,Ground+UAV mobility/navigation/sensing review,Navigation and trajectory strategies,
toscano2025recent,Toscano et al.,2025,Spraying,Review,Multi-crop,ML in autonomous spraying review,Covers supervised/unsupervised/DL,
lochan2024advancements,Lochan et al.,2024,Spraying,Review,Multi-crop,Terrestrial+aerial robotic spraying review,Identifies AI-perception+spraying integration,
nackley2021variable,Nackley et al.,2021,Spraying,VariableRate,Apple/Vineyard,Machine-vision VR vs constant-rate,67-80% volume reduction,
xun2023advanced,Xun et al.,2023,Spraying,VariableRate,Apple orchard,Precision vs BMP; ISO 22866 drift,57.3% drift reduction,
grella2022field,Grella et al.,2022,Spraying,PWM,Vineyard,Tower airblast + TeeJet DynaJet PWM,Optimal 200-370 L/ha,
vijayakumar2026design,Vijayakumar et al.,2026,Spraying,Control,Row crops,PI-controlled nozzle pressure regulation,0.18 s settling; 15.35% overshoot,
zhou2024spraying,Zhou et al.,2024,Spraying,Hardware,Crop canopies,Air-assisted electrostatic nozzle; induction charging,Improved bilateral leaf deposition,
darbyshire2023towards,Darbyshire et al.,2023,Spraying,Coupling,Row crops,YOLOv5 + Faster R-CNN; WCR metric,Task-specific WCR beyond mAP,
upadhyay2024advances,Upadhyay et al.,2024,Spraying,Review,Multi-crop,Review of site-specific weed management,DL + integrated weed management,
hussain2020design,Hussain et al.,2020,Closed-loop,EndToEnd,Potato,YOLOv3 + tiny-YOLOv3; solenoid SVRS,42-43% spray savings,
kim2020intelligent,Kim et al.,2020,Closed-loop,EndToEnd,Pear,SegNet + RGB-D; zone-based nozzle,83.79% segmentation; 20% threshold,
liu2021development,Liu et al.,2021,Closed-loop,EndToEnd,Strawberry,VGG-16; solenoid nozzles,F1 0.88; 93% weeds sprayed,
partel2021smart,Partel et al.,2021,Closed-loop,EndToEnd,Citrus,LiDAR+RGB+GPS+AI canopy-adaptive,28% spray volume reduction,
coleman2022openweedlocator,Coleman et al.,2022,Closed-loop,EndToEnd,Fallow weeds,Green-detection (ExG/ExHSV/HSV) on RPi,Open-source low-cost device,
seol2022field,Seol et al.,2022,Closed-loop,EndToEnd,Pear,SegNet + PWM variable flow,Significant chemical reduction,
fan2023deep,Fan et al.,2023,Closed-loop,EndToEnd,Cotton,Enhanced Faster R-CNN; 3 cameras->3 nozzles,97.4% mAP@50; 98.9% spray rate,
nasir2023precision,Nasir et al.,2023,Closed-loop,EndToEnd,Row crops,YOLOv5n on DDMR; pressure/flow control,F1 87.2% at 67 FPS; 60% reduction,
farooque2023field,Farooque et al.,2023,Closed-loop,EndToEnd,Potato,small-YOLOv3; smart VR sprayer,47% weed / 51% disease reduction,
raja2023real,Raja et al.,2023,Closed-loop,EndToEnd,Vegetables,Crop signalling + vision; micro-jet,99.75% crop; 98.11% weed,
upadhyay2024development,Upadhyay et al.,2024,Closed-loop,EndToEnd,Soybean,YOLOv4 on Jetson AGX Orin; TeeJet valves,93.33% indoor / 90.6% field,
balabantaray2024targeted,Balabantaray et al.,2024,Closed-loop,EndToEnd,Row crops,YOLOv7 on farm-ng Amiga; TeeJet solenoid,Effective Palmer amaranth spraying,
guo2024intelligent,Guo et al.,2024,Closed-loop,EndToEnd,Rice,YOLOv8n-DT distilled; DJI UAV prescription,Weed-density VR UAV spraying,
azghadi2025precision,Azghadi et al.,2025,Closed-loop,EndToEnd,Sugarcane,AutoWeed; DL + Jetson + solenoid,97% as effective; 35-65% reduction,
deng2025development,Deng et al.,2025,Closed-loop,EndToEnd,Vegetables,YOLOv8/v9/v10; 12-nozzle actuator,Cross-season weed detection,
salman2025clip,Salman et al.,2025,Closed-loop,EndToEnd,Greenhouse,CLIP VLM perception + LLM decision,End-to-end greenhouse pipeline,
li2025sustainable,Li et al.,2025,Closed-loop,EndToEnd,Multi-crop,Review of 168 pubs; PDE framework,89-94% pest ID; 30-50% reduction,
wang2025deep,Wang et al.,2025,Closed-loop,EndToEnd,Wheat weeds,Improved YOLOv5s + hysteresis compensation,mAP 91.4%; F1 85.3%,
li2022design,Li et al.,2022,Closed-loop,EndToEnd,Thistle weeds,Improved YOLOv5s + grid decision; boom sprayer,Real-time grid nozzle maps,
bouhaja2025mobile,Bouhaja et al.,2025,Closed-loop,EndToEnd,Tomato,10-layer CNN on RPi; LiDAR nav; Arduino,92.5% acc; 40% reduction,
mohanty2025smart,Mohanty et al.,2025,Closed-loop,EndToEnd,Rice,YOLOv5 + herbicide sprayer + mechanical weeding,95% weed control; 90% incorporation,
sanchez2022evaluation,Sanchez & Zhang,2022,Closed-loop,EndToEnd,Soybean,SSD-MobileNetV1 on Jetson Nano; modular CNN,76% mAP@0.5; 48.9% reduction,
luo2025design,Luo et al.,2025,Closed-loop,EndToEnd,Kale,YOLOv8 + attention + RealSense; PWM,FPS +10.74%; flow R2 0.9958,
hussain2025implementation,Hussain et al.,2025,Closed-loop,EndToEnd,Sugarcane,Image processing + RC autonomous tractor,85.3% spraying efficiency,
khosravi2025optimizing,Khosravi et al.,2025,Closed-loop,DecisionIntelligence,Row crops (sim),HAM-PPO hierarchical RL,Reduced non-target spraying/cost,
hao2022adaptive,Hao et al.,2022,Closed-loop,DecisionIntelligence,Wheat,Actor-critic RL (ASDS),14% spray volume reduction,
moges2023development,Moges et al.,2023,Closed-loop,DecisionIntelligence,General,ANN + SVR drift prediction,ANN R2 0.98 RMSE 0.58,
fattahi2025sensitivity,Fattahi & Abdollah pour,2025,Closed-loop,DecisionIntelligence,General,ANN (4-12-12-1) + SHAP,R2 0.9869; wind speed key driver,
he2024design,He et al.,2024,Closed-loop,DecisionIntelligence,Wheat,Improved DeepLab V3+ (MobileNetV2+CA); PWM VR,MIoU 73.34%; 46.3% cost reduction,
mesias2026multispecies,Mesias-Ruiz et al.,2026,Closed-loop,DecisionIntelligence,Maize/Tomato,EfficientNet/YOLOv8m/DETA/ViT + econ thresholds,>97% acc; >70% herbicide savings,
yue2026weed,Yue & Zhao,2026,Closed-loop,DecisionIntelligence,Soybean,Improved YOLOv11-seg; UAV VR prescription maps,High-precision weed segmentation,
taylor2023coupling,Taylor & Cunniffe,2023,Closed-loop,DecisionIntelligence,Wheat (fungal),XGBoost + SHAP + epidemiological sim,Optimal fungicide dose vs resistance,
mahmud2021lidar,Mahmud et al.,2021,Closed-loop,SensorFusion,Apple,3D LiDAR + INS-GNSS canopy correction,Canopy vs leaf count R2 95.90%,
wang2022design,Wang et al.,2022,Closed-loop,SensorFusion,Pear,3D LiDAR + mm-wave radar; NDT-ICP SLAM,50-80% leaf coverage; autonomous nav,
ban2024camera,Ban et al.,2024,Closed-loop,SensorFusion,Maize,RGB + 3D LiDAR + IMU; Itti saliency + DBSCAN,90% accuracy; 1.84 deg heading error,
gao2025variable,Gao et al.,2025,Closed-loop,SensorFusion,Vineyard,RGB-D (RealSense D415) + GPS/RTK; PWM,57.4% PPP reduction,
xu2025effective,Xu et al.,2025,Closed-loop,SensorFusion,Wheat,RGB + RGB-D multi-modal/multi-view fusion,Improved grass weed detection occlusion,
chacon2023olive,Chacon-Maldonado et al.,2023,Closed-loop,SensorFusion,Olive,AutoDL + SHAP/LIME explainability,Improved olive fly forecasting,
zhao2025orchard,Zhao et al.,2025,Closed-loop,SensorFusion,Orchard,RTK-GNSS + wind-excited audio; SCA-DCNN LAD,5.52% mean flow error; 62.29% runoff cut,
sandhya2025robust,Sandhya & Venkataramana,2025,Closed-loop,SensorFusion,Maize,RGB + FLIR thermal; hybrid DNN-ViT fusion,98% acc (vs 60% without fusion),
